[2024-07-15 01:07:49] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No se encontraron temas con los parametros ingresados. Intente nuevamente.
[2024-07-15 01:09:52] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-15 01:43:00] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-15 01:45:53] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No se encontraron temas con los parametros ingresados. Intente nuevamente.
[2024-07-15 01:53:43] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No se encontraron temas con los parametros ingresados. Intente nuevamente.
[2024-07-15 01:53:45] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No se encontraron temas con los parametros ingresados. Intente nuevamente.
[2024-07-15 01:54:13] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\topic\get-topics-filter.php:188] | No se encontraron temas con los parametros ingresados. Intente nuevamente.
[2024-07-15 07:38:48] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\course\get-courses-filter.php:154] | No topics found
[2024-07-15 07:40:41] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\course\get-courses-filter.php:154] | No topics found
[2024-07-15 07:58:00] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\course\get-courses-filter.php:154] | No topics found
[2024-07-15 08:02:27] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\course\get-courses-filter.php:154] | No topics found
[2024-07-15 08:02:31] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\course\get-courses-filter.php:154] | No topics found
[2024-07-15 08:02:54] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\course\get-courses-filter.php:154] | No topics found
[2024-07-15 08:03:46] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\course\get-courses-filter.php:154] | No se encontraron cursos
[2024-07-15 08:12:21] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\course\get-courses-filter.php:154] | No se encontraron cursos
[2024-07-16 18:01:46] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
[2024-07-16 18:39:15] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\course\get-courses-filter.php:154] | No se encontraron cursos
[2024-07-16 18:51:29] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\user\get-users-filter.php:108] | No topics found
[2024-07-16 19:18:04] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\user\get-users-filter.php:107] | No se encontro ningun usuario con ese filtro
[2024-07-16 19:26:03] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\user\get-users-filter.php:107] | No se encontro ningun usuario con ese filtro
[2024-07-16 19:27:22] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\user\get-users-filter.php:107] | No se encontro ningun usuario con ese filtro
[2024-07-16 19:29:37] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\course\get-courses-filter.php:154] | No se encontraron cursos
[2024-07-17 18:44:33] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-semestre.php:79] | No hay semestres registrados
[2024-07-17 18:44:56] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-semestre.php:79] | No hay semestres registrados
[2024-07-17 19:01:24] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-semestre.php:79] | No hay semestres registrados
[2024-07-17 19:06:14] | [C:\xampp\htdocs\trabajos\LibroTemas\pagina\php\individual_data\get-semestre.php:79] | No hay semestres registrados
[2024-07-17 19:22:10] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\individual_data\get-semestre.php:22] | ID de carrera no proporcionado
[2024-07-17 19:22:42] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\individual_data\get-semestre.php:22] | ID de carrera no proporcionado
[2024-07-17 19:23:30] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\individual_data\get-semestre.php:79] | No hay semestres registrados
[2024-07-17 23:47:27] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\individual_data\get_materias_for_new_course.php:20] | ID de carrera no proporcionado
[2024-07-17 23:48:35] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\individual_data\get_materias_for_new_course.php:20] | ID de carrera no proporcionado
[2024-07-17 23:48:47] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\individual_data\get_materias_for_new_course.php:20] | ID de carrera no proporcionado
[2024-07-18 05:54:18] | [C:\xampp\htdocs\prog\300hs_laborales\LibroTemas\pagina\php\individual_data\get-turnos.php:68] | No hay turnos registrados con esos datos
